isin,ticker,name
CH0038389992,BBZA,"BB BIOTECH NAM.   SF 0,20"
CH0038863350,NESR,"NESTLE NAM.        SF-,10"
DE000ETFL060,EL4F,DK DAX (AUSSCHUETTEND)
LU0292106241,DXSN,DB X-TR.SHORTDAX DAILY 1C
LU0378438732,C001,COMSTAGE-DAX UCITS ETF I
LU0411075020,DBPD,DB X-TR.SHORTDAX X2 DA.1C
DE000A0BVU93,PS4,PHOENIX SOLAR AG  O.N.
DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.
DE000A0F5UH1,ISPA,IS.S.GL.SE.D.100 U.ETF A.
DE000A0F5UJ7,EXV1,IS.S.EU.600 BANK.U.ETF A.
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN AG INH
DE000A0Q4R28,EXV5,ISH.S.EU.600 A+P U.ETF A.
DE000A0Q4R36,EXV4,IS.S.E.600 HEA.C.U.ETF A.
DE000A1C22M3,H4ZF,HSBC S+P 500 UCITS ETF DZ
DE000A12GJD2,IROB,ETFS RO.GL RO.+AU.GO DZ
DE000A12UP37,NC5A,NORCOM INF.TECHN.AG
DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO
DE000TUAG000,TUI1,TUI AG NA O.N.
DE0005286108,UMD,UMT UTD MOB.TECHN.AG
DE0005751986,S4A,SMT SCHARF AG
DE0005773303,FRA,FRAPORT AG FFM.AIRPORT
DE0005790430,FPE3,FUCHS PETROL.SE VZO O.N.
DE0005878003,GIL,DMG MORI AG O.N.
DE0005936124,OHB,OHB SE   O.N.
DE0006204407,KU2,KUKA AG
DE0006289309,EXX1,ISHS ESTXX BNKS.30-15 UC.
DE0006292030,KSB3,KSB AG O.N. VZO
DE0006335003,KRN,KRONES AG O.N.
DE0006602006,G1A,GEA GROUP AG
DE0006757008,NSU,AUDI AG O.N.
DE0006916604,PFV,PFEIFFER VACUUM TECH.O.N.
DE0007010803,RAA,RATIONAL AG
DE0007193500,SKB,KOENIG + BAUER AG ST O.N.
DE0007297004,SZU,SUEDZUCKER AG  O.N.
DE0007846867,V6C,VISCOM AG O.N.
DE0008019001,PBB,DT.PFANDBRIEFBK AG
DE0008303504,TEG,TAG IMMOBILIEN AG
DK0010268606,VWS,VESTAS WIND SYST. NAM.DK1
ES0143416115,GTQ1,"SIEMENS GAMESA R.E.EO-,17"
FI0009000681,NOA3,"NOKIA OYJ EO-,06"
FR0000120644,BSN,"DANONE S.A. EO -,25"
FR0000121501,PEU,PEUGEOT SA           EO 1
FR0010315770,LYYA,LYX.MSCI WORLD U.ETF DEO
FR0010756098,AMEW,AMUNDI ETF MSCI WLD
GB00BHD66J44,TIM,ZEAL NETWORK SE      EO 1
GB00BH4HKS39,VODI,VODAFONE GROUP PLC
